Google Map顯示名稱(全名),Google Map url,新的url(不需調整請填x)
大碩研究所(台南館),"https://www.google.com/maps/place/%E5%A4%A7%E7%A2%A9%E7%A0%94%E7%A9%B6%E6%89%80(%E5%8F%B0%E5%8D%97%E9%A4%A8)/@22.997674,120.208462,15z/data=!4m5!3m4!1s0x0:0xdc5f4eadb494d841!8m2!3d22.9976735!4d120.2084621?hl=en-US",
大碩研究所(台南館),"https://www.google.com/maps/place/%E5%A4%A7%E7%A2%A9%E7%A0%94%E7%A9%B6%E6%89%80(%E5%8F%B0%E5%8D%97%E9%A4%A8)/@22.997674,120.208462,15z/data=!4m5!3m4!1s0x0:0xdc5f4eadb494d841!8m2!3d22.9976735!4d120.2084621?hl=en-US",
大碩研究所(台南館),"https://www.google.com/maps/place/%E5%A4%A7%E7%A2%A9%E7%A0%94%E7%A9%B6%E6%89%80(%E5%8F%B0%E5%8D%97%E9%A4%A8)/@22.997674,120.208462,15z/data=!4m5!3m4!1s0x0:0xdc5f4eadb494d841!8m2!3d22.9976735!4d120.2084621?hl=en-US",
大碩研究所(台南館),"https://www.google.com/maps/place/%E5%A4%A7%E7%A2%A9%E7%A0%94%E7%A9%B6%E6%89%80(%E5%8F%B0%E5%8D%97%E9%A4%A8)/@22.997674,120.208462,15z/data=!4m5!3m4!1s0x0:0xdc5f4eadb494d841!8m2!3d22.9976735!4d120.2084621?hl=en-US",
TKB台南數位學堂,"https://www.google.com/maps/place/TKB%E6%95%B8%E4%BD%8D%E5%AD%B8%E5%A0%82/@22.997542,120.208718,15z/data=!4m5!3m4!1s0x0:0xa9176c28fc67ef49!8m2!3d22.9975423!4d120.2087178?hl=en-US",
TKB 台南百官網,"https://www.google.com/maps/place/TKB+%E7%99%BE%E5%AE%98%E7%B6%B2/@22.9972101,120.2066671,17.75z/data=!4m8!1m2!2m1!1z5Y-w5Y2XIOeZvuWumA!3m4!1s0x0:0x3be8f039351c664b!8m2!3d22.9975782!4d120.208438?hl=en-US",
TKB數位學堂,"https://www.google.com/maps/place/TKB%E6%95%B8%E4%BD%8D%E5%AD%B8%E5%A0%82/@23.554222,120.470251,13z/data=!4m5!3m4!1s0x0:0x83e2371502588fd5!8m2!3d23.5542221!4d120.4702509?hl=en",
TKB數位學堂(嘉義館),"https://www.google.com/maps/place/TKB+digital+school/@23.480394,120.44353,15z/data=!4m5!3m4!1s0x0:0x4253b6468f54b3ed!8m2!3d23.4803938!4d120.4435299?hl=en-US",
龍門轉學考+台南,"https://www.google.com/maps/place/%E9%BE%8D%E9%96%80%E8%BD%89%E5%AD%B8%E8%80%83/@22.9971823,120.2085394,18z/data=!4m6!3m5!1s0x346e768ba995d9c7:0x1d18ab066d470978!8m2!3d22.9983742!4d120.2070012!16s%2Fg%2F11cjj861qw?hl=en-US",
大碩研究所+台北,"https://www.google.com/maps/place/%E5%A4%A7%E7%A2%A9%E7%A0%94%E7%A9%B6%E6%89%80/@25.045923,121.5103713,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x1b15bfd63b3cf324!8m2!3d25.045923!4d121.51256?hl=en-US",
