區域,url,name,Google map 名稱
北,"https://www.google.com/maps/place/TKB%E6%9E%97%E5%8F%A3%E6%95%B8%E4%BD%8D%E5%AD%B8%E5%A0%82(%E7%99%BE%E5%AE%98%E7%B6%B2%E5%85%AC%E8%81%B7%2F%E5%9C%8B%E7%87%9F%EF%BC%8C%E5%A4%A7%E7%A2%A9%E7%A0%94%E7%A9%B6%E6%89%80)/@25.058683,121.367303,15z/data=!4m5!3m4!1s0x0:0x1934a97ac4612d3e!8m2!3d25.0586832!4d121.3673031?hl=en-US",林口數位學堂,TKB林口數位學堂（百官網公職/國營、大碩研究所、洋碩美語、甄戰書審口面試）
北,"https://www.google.com/maps/place/TKB%E6%A1%83%E5%9C%92%E6%95%B8%E4%BD%8D%E5%AD%B8%E5%A0%82(%E5%85%AC%E8%81%B7%2F%E7%A0%94%E7%A9%B6%E6%89%80%2F%E8%BD%89%E5%AD%B8%E8%80%83%2F%E6%B4%8B%E7%A2%A9%2F%E7%94%84%E6%88%B0)/@24.989875,121.311946,15z/data=!4m5!3m4!1s0x0:0xf8982d48864941ee!8m2!3d24.989875!4d121.311946?hl=en-US",桃園數位學堂,TKB桃園數位學堂 (大碩研究所/百官公職/國營/龍門轉學考/甄戰書審/洋碩美語）
北,"https://www.google.com/maps/place/TKB%E4%B8%AD%E5%A3%A2%E6%95%B8%E4%BD%8D%E5%AD%B8%E5%A0%82/@24.9520942,121.2252504,20.5z/data=!4m5!3m4!1s0x3468224927c2c0db:0x3e60eeec8d33b653!8m2!3d24.9520969!4d121.2252611?hl=en-US",中壢數位學堂,TKB中壢數位學堂
北,"https://www.google.com/maps/place/TKB%E6%96%B0%E7%AB%B9%E6%95%B8%E4%BD%8D%E5%AD%B8%E5%A0%82%2F%E7%99%BE%E5%AE%98%E7%B6%B2/@24.8035938,120.9736629,21z/data=!4m5!3m4!1s0x346835c240c90c65:0xdef95c625e91df07!8m2!3d24.803587!4d120.9737539?hl=en-US",新竹數位學堂,TKB新竹數位學堂/百官網
中,"https://www.google.com/maps/place/TKB+digital+school/@24.137207,120.682039,15z/data=!4m5!3m4!1s0x0:0x55fe05f014283777!8m2!3d24.1372067!4d120.6820394",台中數位學堂,TKB 台中數位學堂/台中百官網公職
中,"https://www.google.com/maps/place/TKB%E8%A5%BF%E5%B1%AF%E6%95%B8%E4%BD%8D%E5%AD%B8%E5%A0%82%2F%E5%A4%A7%E7%A2%A9%E7%A0%94%E7%A9%B6%E6%89%80%E8%A5%BF%E5%B1%AF%E7%8F%AD/@24.1728655,120.6466388,15.25z/data=!4m5!3m4!1s0x0:0x661105ba3df3d303!8m2!3d24.172795!4d120.646434?hl=en-US",西屯數位學堂,百官網公職/大碩研究所/龍門轉學考(TKB西屯總部)
中,"https://www.google.com/maps/place/TKB%E4%B8%AD%E7%A7%91%E6%95%B8%E4%BD%8D%E5%AD%B8%E5%A0%82%2F%E5%8F%B0%E4%B8%AD%E5%A4%A7%E7%A2%A9%E4%B8%AD%E7%A7%91%E7%8F%AD/@24.183202,120.591789,15z/data=!4m5!3m4!1s0x0:0xfd8406551599bcbf!8m2!3d24.1832023!4d120.5917894?hl=en-US",中科數位學堂,TKB中科數位學堂/台中大碩東海班
中,"https://www.google.com/maps/place/TKB%E5%BD%B0%E5%8C%96%E6%95%B8%E4%BD%8D%E5%AD%B8%E5%A0%82%2F%E5%A4%A7%E7%A2%A9%E7%A0%94%E7%A9%B6%E6%89%80%2F%E9%BE%8D%E9%96%80%E8%BD%89%E5%AD%B8%E8%80%83/@24.079849,120.537957,15z/data=!4m5!3m4!1s0x0:0x4dab4a8a5897bf6d!8m2!3d24.0798486!4d120.5379565?hl=en-US",彰化數位學堂,TKB彰化數位學堂/大碩研究所/龍門轉學考
中,"https://www.google.com/maps/place/TKB%E6%95%B8%E4%BD%8D%E5%AD%B8%E5%A0%82/@23.7118082,120.5434538,20.25z/data=!4m13!1m7!3m6!1s0x346ec8309e71438d:0xdc01d2f3461f33cf!2sNo.+34,+Zhenbei+Road,+Douliu+City,+Yunlin+County,+640!3b1!8m2!3d23.7119233!4d120.5434076!3m4!1s0x346ec83a7fcd9ab1:0xe8af41fe0f4683f0!8m2!3d23.7118697!4d120.543454?hl=en-US",斗六數位學堂,TKB數位學堂
南,"https://www.google.com/maps/place/TKB+digital+school/@23.480394,120.44353,15z/data=!4m5!3m4!1s0x0:0x4253b6468f54b3ed!8m2!3d23.4803938!4d120.4435299?hl=en-US",嘉義數位學堂,TKB數位學堂(嘉義館)
南,"https://www.google.com/maps/place/TKB%E6%95%B8%E4%BD%8D%E5%AD%B8%E5%A0%82/@23.554222,120.470251,13z/data=!4m5!3m4!1s0x0:0x83e2371502588fd5!8m2!3d23.5542221!4d120.4702509?hl=en",民雄數位學堂,TKB數位學堂
南,"https://www.google.com/maps/place/TKB%E6%95%B8%E4%BD%8D%E5%AD%B8%E5%A0%82/@22.997542,120.208718,15z/data=!4m5!3m4!1s0x0:0xa9176c28fc67ef49!8m2!3d22.9975423!4d120.2087178?hl=en-US",台南數位學堂,TKB台南數位學堂
南,"https://www.google.com/maps/place/TKB+digital+school/@22.635982,120.304175,15z/data=!4m5!3m4!1s0x0:0x5467c9e4131771c5!8m2!3d22.6359816!4d120.3041751?hl=en-US",高雄數位學堂,TKB高雄數位學堂(百官網公職)
南,"https://www.google.com/maps/place/TKB%E5%8C%97%E9%AB%98%E6%95%B8%E4%BD%8D%E5%AD%B8%E5%A0%82/@22.726067,120.294632,15z/data=!4m5!3m4!1s0x0:0xaac12773420b86d4!8m2!3d22.7260674!4d120.2946324?hl=en-US",北高數位學堂,TKB北高數位學堂
南,"https://www.google.com/maps/place/TKB%E6%A5%A0%E6%A2%93%E6%95%B8%E4%BD%8D%E5%AD%B8%E5%A0%82/@22.727203,120.324765,15z/data=!4m5!3m4!1s0x0:0xcf476ce7a3d10564!8m2!3d22.727203!4d120.3247652?hl=en-US",楠梓數位學堂,臺灣知識庫股份有限公司 /TKB楠梓數位學堂/大碩研究所
南,"https://www.google.com/maps/place/TKB%E6%95%B8%E4%BD%8D%E5%AD%B8%E5%A0%82%2F%E5%A4%A7%E7%A2%A9%E7%A0%94%E7%A9%B6%E6%89%80-%E5%B1%8F%E6%9D%B1%E9%A4%A8/@22.669591,120.48745,15z/data=!4m5!3m4!1s0x0:0x5d35e4a7b50ae728!8m2!3d22.669591!4d120.4874499?hl=en-US",屏東數位學堂,TKB屏東數位學堂/大碩研究所/百官網公職/洋碩美語
北,"https://www.google.com/maps/place/TKB+%E7%99%BE%E5%AE%98%E7%B6%B2%E5%85%AC%E8%81%B7%2F%E9%AB%98%E6%99%AE%E8%80%83%2F%E5%9C%8B%E7%87%9F%2F%E6%8A%80%E5%B8%AB%E8%A3%9C%E7%BF%92%E7%8F%AD/@25.047141,121.512606,15z/data=!4m5!3m4!1s0x0:0xdb33cf1e838af71d!8m2!3d25.047141!4d121.512606?hl=en-US",台北百官,TKB 百官網公職/高普考/國營/技師/PMP證照/研究所/高中升大學習歷程補習班
